region_name,num_nodes,num_elements,max_von_mises_MPa,p95_von_mises_MPa,p99_von_mises_MPa,mean_von_mises_MPa,max_displacement_mm,p95_displacement_mm,mean_displacement_mm,max_principal_strain_microstrain,p95_principal_strain_microstrain,mean_principal_strain_microstrain,regional_strain_energy_mJ
Whole Skull (Global),147735,606363,7.1455635736057355,1.384399132849139,2.192026017482431,0.4505302873066671,0.03075957194657518,0.025939857219633357,0.012898879512519152,317.59406574489213,68.09325021407697,20.209816931093286,6.36816232639536
Frontoparietal Dome Apex,7312,26909,4.614768838737528,1.098118779596196,1.662843464310139,0.3451199547372773,0.028239597892861484,0.024963657528581915,0.020120725128372777,141.28754000167606,40.4063657725397,12.848186916831681,0.05765173258458438
Sub-Dome Vault Core,43247,172728,7.1455635736057355,1.8437597517376394,2.683646895093103,0.7409514930693115,0.024088109831697662,0.022345897596986648,0.011608186491284745,317.59406574489213,96.61366835409855,34.50169305407529,1.7500032046150782
Endocranial Braincase Roof,8320,36531,3.7035084229998323,1.5529677764388865,2.032808137548812,0.742178359283823,0.014234701346183772,0.012537537005241066,0.006297007244692853,158.77524905589266,78.77856160606149,31.92299275703704,0.8775078161045639
Lateral Cranium,32340,129345,7.1455635736057355,1.6465851148722188,2.4987669933539256,0.514156128677749,0.028239597892861484,0.023275265109440724,0.010860031805069724,317.59406574489213,83.84672842420753,25.294833442580245,1.0956783315316851
Posterior Skull & Nuchal Shelf,13996,58914,3.4974921229195277,1.274149732533587,2.053056296824744,0.42464507814564745,0.0018087793070210084,0.0012964727351392417,0.0007498261528852626,215.07241167542688,73.21719743610021,19.20973655089173,0.6645753039317877
Basicranium & Condyle,12542,54293,7.127040470343479,0.7122198809126089,2.5922596516872014,0.33627561769227415,0.014567697953731295,0.01327982160144581,0.00799862813135704,199.9798645681491,29.405899347200037,12.530689744828859,2.1314030915777975
