region_name,num_nodes,num_elements,max_von_mises_MPa,p95_von_mises_MPa,p99_von_mises_MPa,mean_von_mises_MPa,max_displacement_mm,p95_displacement_mm,mean_displacement_mm,max_principal_strain_microstrain,p95_principal_strain_microstrain,mean_principal_strain_microstrain,regional_strain_energy_mJ
Whole Skull (Global),99614,422573,30.460881729875183,2.5125149920003116,4.651079365387432,0.765596945154644,0.059070461908208874,0.03460953818832134,0.01654979942109447,627.5821582866793,106.28533849113036,32.25085164924499,15.613643510363197
Frontoparietal Dome Apex,4469,16475,10.245755693680376,3.3992551984665953,5.9956377058169705,0.968102582084362,0.059070461908208874,0.0372642900709928,0.025697684937368636,438.507807201086,130.41033446341652,38.99991837017635,0.6185117759915456
Sub-Dome Vault Core,29541,121533,30.460881729875183,3.6447654753318575,6.158117950337557,1.3191439804750142,0.051544624569371714,0.02879609138513714,0.014861286487960873,627.5821582866793,144.74498801579702,55.63805215812267,7.035674630826967
Endocranial Braincase Roof,5878,27394,10.956758221507421,2.8230193935074115,5.048391643730381,1.1542785069818928,0.021330732558665296,0.016330267706983922,0.008142614235069527,177.43835323452498,99.5247630498965,44.56472353432963,1.9631097145251966
Lateral Cranium,21272,87366,6.360110956125748,1.702664688825487,2.6362444685201734,0.6047845919530745,0.02754608106866613,0.023808161456637823,0.01234671977483964,376.7378241369212,95.42340710393327,30.67960408472955,1.4879700608649178
Posterior Skull & Nuchal Shelf,9486,41550,4.285319367065988,1.56421140941922,2.23699615038969,0.5408910033046129,0.0021905982380220255,0.0013508719192649578,0.0008417402174462019,246.78019979017756,89.87764191140272,25.054205916703673,0.9524823744429866
Basicranium & Condyle,8582,38767,7.5832928649761655,0.808255958187422,3.143345520481259,0.4162591519009068,0.018521653705495543,0.016500107907759232,0.010080398078365057,197.21212120590363,32.25338928102579,16.10070351134427,3.0933286302829552
