region_name,num_nodes,num_elements,max_von_mises_MPa,p95_von_mises_MPa,p99_von_mises_MPa,mean_von_mises_MPa,max_displacement_mm,p95_displacement_mm,mean_displacement_mm,max_principal_strain_microstrain,p95_principal_strain_microstrain,mean_principal_strain_microstrain,regional_strain_energy_mJ
Whole Skull (Global),118577,540310,30.025784642347347,2.3659292346158924,4.430395216657673,0.731354680164185,0.05912314652747658,0.03432740456363096,0.01581717677274455,611.0594122524681,101.64881099993997,30.554788302280553,15.713313952127544
Frontoparietal Dome Apex,4514,16788,10.204235750353174,3.3551337037194977,5.864130748827805,0.9569796375014098,0.05912314652747658,0.03739335833964316,0.025864537100791733,407.60412478039376,131.11182777813275,38.58576158171242,0.6155709877338225
Sub-Dome Vault Core,30146,125293,30.025784642347347,3.621121018826904,6.091397386312204,1.3252534712083923,0.05172086579308527,0.02904501575739017,0.014874671587004062,611.0594122524681,145.96394715731006,56.19780040134257,7.081890621538619
Endocranial Braincase Roof,8503,43739,11.179366854479873,2.382866636606471,4.665126241562317,1.029021072416312,0.021660258808997097,0.0160484746146377,0.00793236421725298,176.18437895459743,93.27443453729954,39.395366771926476,1.996379674432161
Lateral Cranium,22997,97997,6.488151767284019,1.6968985747040444,2.65683065946254,0.6051457216538586,0.02787002982759729,0.023903747562076052,0.012102430896965553,384.1774468059636,95.39534859672982,30.85327110039745,1.4922763568190502
Posterior Skull & Nuchal Shelf,10473,47593,4.0461718477581075,1.5410112631073398,2.2489803753488804,0.5482355145946431,0.00221534009103686,0.0013425793501732775,0.000832547788091298,240.17584081079022,88.40980830163271,25.603108634823556,0.9245948424206039
Basicranium & Condyle,17175,91942,7.926428970948649,1.2518208072157697,3.072272522339064,0.4829350121632767,0.018739101382867274,0.016215872537105394,0.00976881450373515,235.01853696506953,34.8534349738592,16.82556466684664,3.138414897530324
