region_name,num_nodes,num_elements,max_von_mises_MPa,p95_von_mises_MPa,p99_von_mises_MPa,mean_von_mises_MPa,max_displacement_mm,p95_displacement_mm,mean_displacement_mm,max_principal_strain_microstrain,p95_principal_strain_microstrain,mean_principal_strain_microstrain,regional_strain_energy_mJ
Whole Skull (Global),165969,825277,31.12350512600093,2.1578603442724757,4.123572121069817,0.6881794905446618,0.059751810577245365,0.03325557743422581,0.01471575131005573,695.2011433372244,94.79958713808628,28.64905448640035,15.746246656872561
Frontoparietal Dome Apex,5108,19840,10.46916548031319,3.333907456646167,5.751517185707645,0.9573060173632392,0.059751810577245365,0.03770028546106168,0.02575141572461866,438.79240237605865,129.7561355924408,38.435372460281215,0.6066852528367741
Sub-Dome Vault Core,34470,149142,31.12350512600093,3.5974540865634155,5.97247816775126,1.3118937414521983,0.052258934812182585,0.028896366072311594,0.014480393433179759,695.2011433372244,143.05215696421266,56.011272890413345,7.165591284249283
Endocranial Braincase Roof,14381,79555,10.73343936755284,2.014619033535033,3.994705958357013,0.9285989746809808,0.02171202423323062,0.015564600699088329,0.007606802143249338,240.42463233401574,85.15354476292369,35.79614713097851,2.0043937268975176
Lateral Cranium,28662,131851,6.547630992291662,1.660187840384047,2.5766853342262572,0.6097852638012902,0.027717654309704392,0.0234975241957752,0.011441834822932661,388.3972302092646,93.22583087865941,31.36611087017319,1.4977341225661795
Posterior Skull & Nuchal Shelf,13699,67420,3.711052203472477,1.5074406427134004,2.216723107550896,0.5800369279057382,0.002162039578581814,0.0013205122357857946,0.0008359202158145755,231.65780490541496,87.53357397532395,27.781950202908327,0.9006004739005808
Basicranium & Condyle,33618,192041,7.64740598062005,1.3185417089795088,3.0652130408812863,0.501965142116443,0.018526118581143555,0.015785289104469715,0.009454211319004624,221.0859531703304,35.4193387382992,17.02046269420372,3.1026561657906853
