media_id,element_name,side,provenance_tier,filename,relative_path,file_size_bytes,sha256_checksum,raw_vertex_count,unique_vertex_count,face_count,edge_count,euler_characteristic,connected_components,is_watertight,boundary_edges,non_manifold_edges,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,extent_dx,extent_dy,extent_dz,centroid_x,centroid_y,centroid_z,surface_area,enclosed_volume,candidate_scale_hint,verified_units,coordinate_frame
000018284,Whole Skull,Complete,segmented_from_primary_scan,WitmerLab_Stegoceras_UALVP2-000018284.stl,meshes/original/whole_skull/WitmerLab_Stegoceras_UALVP2-000018284.stl,60005184,aa994f41df3a7763a048f93339345dd68ea91f475386b8ae129ec80fd226c7c3,3600306,599948,1200102,1800151,-101,1,False,0,2,38.012046813964844,4.268539905548096,0.3753740191459656,169.1443634033203,204.76962280273438,128.0867919921875,131.13231658935547,200.50108289718628,127.71141797304153,105.62656518286504,114.01624127293219,71.63783482382253,120512.20464706753,,likely_millimeters (diagnostic coordinate magnitude 50-500),UNKNOWN,MorphoSource_deposited_coordinates (untransformed)
000043121,Frontoparietal,Midline,segmented_from_primary_scan,WitmerLab_VisInt-Pachy_Stegoceras_UALVP2_Frontoparietal-000043121.stl,meshes/original/components/WitmerLab_VisInt-Pachy_Stegoceras_UALVP2_Frontoparietal-000043121.stl,12387334,a7d02ff34586f891cf6f1d3e3b70b464ef15897f09f4cccc783c5a52c3995eb8,743235,123890,247745,371645,-10,1,False,55,0,65.91510009765625,72.93599700927734,0.3763819932937622,156.51699829101562,197.31199645996094,83.25199890136719,90.60189819335938,124.3759994506836,82.87561690807343,110.02619372743688,138.61226992772578,42.12006651551817,30628.272237176592,,likely_millimeters (diagnostic coordinate magnitude 50-500),UNKNOWN,MorphoSource_deposited_coordinates (untransformed)
000043122,Ectopterygoid,Left,segmented_from_primary_scan,WitmerLab_VisInt-Pachy_Stegoceras_UALVP2_L_ectopterygoid-000043122.stl,meshes/original/components/WitmerLab_VisInt-Pachy_Stegoceras_UALVP2_L_ectopterygoid-000043122.stl,259534,850d58691f7b9420bc2dacf0c15cf4359e75189b2e389a23dbb624c6b94a64e9,15567,2597,5189,7785,1,1,False,3,0,62.84830093383789,86.35430145263672,93.84980010986328,80.61019897460938,101.0260009765625,111.18699645996094,17.761898040771484,14.671699523925781,17.337196350097656,72.68343448252634,92.77105382449993,101.88836767805887,586.0882269080312,,likely_centimeters (diagnostic coordinate magnitude 5-50),UNKNOWN,MorphoSource_deposited_coordinates (untransformed)
000043123,Jugal,Left,segmented_from_primary_scan,WitmerLab_VisInt-Pachy_Stegoceras_UALVP2_L_jugal-000043123.stl,meshes/original/components/WitmerLab_VisInt-Pachy_Stegoceras_UALVP2_L_jugal-000043123.stl,1957634,fd2a6267b36c29b2d1ffbce2b05d9446d32856325e6754a45eadd663b1cbfbfa,117453,19576,39151,58728,-1,1,False,3,0,38.02299880981445,48.20709991455078,73.88500213623047,80.83039855957031,138.19700622558594,122.23100280761719,42.80739974975586,89.98990631103516,48.34600067138672,56.442871020378604,100.09791983062651,94.54141626009667,4617.011057378285,,likely_millimeters (diagnostic coordinate magnitude 50-500),UNKNOWN,MorphoSource_deposited_coordinates (untransformed)
000043124,Lacrimal,Left,segmented_from_primary_scan,WitmerLab_VisInt-Pachy_Stegoceras_UALVP2_L_lacrimal-000043124.stl,meshes/original/components/WitmerLab_VisInt-Pachy_Stegoceras_UALVP2_L_lacrimal-000043124.stl,762684,e48dcece7409974e689ab07d4eb32f157ba2d4b713fc454e2b6d14c102428da6,45756,7624,15252,22878,-2,1,True,0,0,66.95030212402344,59.41310119628906,64.01129913330078,82.32820129394531,87.90599822998047,91.5875015258789,15.377899169921875,28.492897033691406,27.576202392578125,74.64821144204254,73.76007134394695,75.332245856009,1586.4146722176147,1968.8344406751378,likely_centimeters (diagnostic coordinate magnitude 5-50),UNKNOWN,MorphoSource_deposited_coordinates (untransformed)
000043125,Maxilla,Left,segmented_from_primary_scan,WitmerLab_VisInt-Pachy_Stegoceras_UALVP2_L_maxilla-000043125.stl,meshes/original/components/WitmerLab_VisInt-Pachy_Stegoceras_UALVP2_L_maxilla-000043125.stl,2825284,57896a6654a3337ad9c7a60249e9dd0afe690e1e0c6e591e1cffe84e55eee597,169512,28251,56504,84768,-13,1,False,24,0,63.63650131225586,17.508800506591797,60.12369918823242,105.69499969482422,92.31790161132812,112.58899688720703,42.05849838256836,74.80910110473633,52.46529769897461,83.07796380191685,56.5444000936477,89.13188624676677,6545.742013060941,,likely_millimeters (diagnostic coordinate magnitude 50-500),UNKNOWN,MorphoSource_deposited_coordinates (untransformed)
000043126,Nasal,Left,segmented_from_primary_scan,WitmerLab_VisInt-Pachy_Stegoceras_UALVP2_L_nasal-000043126.stl,meshes/original/components/WitmerLab_VisInt-Pachy_Stegoceras_UALVP2_L_nasal-000043126.stl,3038284,d880735c5bf2ac46e67e1b67cdada1b860f77fad1ccde23d4041420111e1f056,182292,30392,60764,91163,-7,1,False,34,0,74.28919982910156,15.297200202941895,24.404600143432617,109.1240005493164,90.3052978515625,78.37629699707031,34.834800720214844,75.0080976486206,53.971696853637695,97.16656648136671,56.850113772573714,52.73365106979884,6888.315894046739,,likely_millimeters (diagnostic coordinate magnitude 50-500),UNKNOWN,MorphoSource_deposited_coordinates (untransformed)
000043127,Palatine,Left,segmented_from_primary_scan,WitmerLab_VisInt-Pachy_Stegoceras_UALVP2_L_palatine-000043127.stl,meshes/original/components/WitmerLab_VisInt-Pachy_Stegoceras_UALVP2_L_palatine-000043127.stl,981834,659b87c383e473e457fdd565b31212fe63a90ba4f232c11ee3ad360be13d0b40,58905,9819,19635,29457,-3,1,False,9,0,75.6792984008789,50.34370040893555,72.93589782714844,104.73799896240234,102.3219985961914,103.34300231933594,29.058700561523438,51.97829818725586,30.4071044921875,90.37071406696505,83.89789591235592,86.04547425026901,2289.8349392390064,,likely_millimeters (diagnostic coordinate magnitude 50-500),UNKNOWN,MorphoSource_deposited_coordinates (untransformed)
000043128,Postorbital,Left,segmented_from_primary_scan,WitmerLab_VisInt-Pachy_Stegoceras_UALVP2_L_postorbital-000043128.stl,meshes/original/components/WitmerLab_VisInt-Pachy_Stegoceras_UALVP2_L_postorbital-000043128.stl,2981284,79eab3bcce9b9db18c8e0acbbec5ae5d46c0df224134b72a9b5ce69672bbf93e,178872,29814,59624,89439,-1,1,False,6,0,49.833900451660156,122.62200164794922,28.25029945373535,85.09729766845703,175.01600646972656,82.74720001220703,35.263397216796875,52.394004821777344,54.49690055847168,66.36277205404868,150.81325262027931,57.23492485610535,6940.635076287099,,likely_millimeters (diagnostic coordinate magnitude 50-500),UNKNOWN,MorphoSource_deposited_coordinates (untransformed)
000043129,Prefrontal,Left,segmented_from_primary_scan,WitmerLab_VisInt-Pachy_Stegoceras_UALVP2_L_prefrontal-000043129.stl,meshes/original/components/WitmerLab_VisInt-Pachy_Stegoceras_UALVP2_L_prefrontal-000043129.stl,1503434,9d38908109af1ccd1a757764f045bd94fedb9fd47c36dd2b5180d8a48d12ed14,90201,15040,30067,45107,0,1,False,13,0,72.31050109863281,70.80709838867188,31.251100540161133,95.29319763183594,107.5270004272461,70.47689819335938,22.982696533203125,36.71990203857422,39.22579765319824,84.19810336686304,88.9610794823694,50.827515847759706,3053.9457721247036,,likely_centimeters (diagnostic coordinate magnitude 5-50),UNKNOWN,MorphoSource_deposited_coordinates (untransformed)
